Bureau of Justice Statistics,,,,,,,,,,,
State,7065,3708,3708,3708,52.5,34441,3386,3327,3357,47.5,14188
"Local, total",69058,52388,51393,51801,75,294112,18777,16432,17257,25,66205
Counties,21901,14811,14006,14274,65.2,60934,7667,7484,7627,34.8,31458
Municipalities,47157,37577,37387,37527,79.6,233178,11110,8948,9630,20.4,34746
,,,,,,,,,,,
Utah,6337,4541,4323,4376,69.1,22331,3087,1467,1961,30.9,6696
State,899,495,477,485,53.9,2332,485,388,414,46.1,1511
"Local, total",5438,4046,3846,3891,71.6,19999,2602,1079,1547,28.4,5186
Counties,1635,1252,1173,1190,72.8,6187,734,326,445,27.2,1450
Municipalities,3774,2772,2651,2678,71,13703,1863,749,1096,29,3720
,,,,,,,,,,,
Vermont,1493,1104,946,999,66.9,5814,628,459,494,33.1,2209
State,598,285,285,285,47.7,2056,365,300,313,52.3,1476
"Local, total",895,819,661,714,79.8,3758,263,159,181,20.2,733
Counties,9,0,0,0,0,0,9,8,9,100,29
Municipalities,414,370,322,341,82.4,1813,121,65,73,17.6,300
,,,,,,,,,,,
Virginia,21923,17861,17359,17605,80.3,93686,4779,3845,4318,19.7,16673
State,3199,2362,2350,2356,73.6,12591,902,776,843,26.4,3179
"Local, total",18724,15499,15009,15249,81.4,81095,3877,3069,3475,18.6,13493
Counties,9450,7732,7462,7594,80.4,44791,2084,1625,1856,19.6,8000
Municipalities,9274,7767,7547,7655,82.5,36305,1793,1444,1619,17.5,5494
,,,,,,,,,,,
Washington,14412,10052,9946,9981,69.3,81591,4584,4294,4431,30.7,23681
State,2112,772,772,772,36.6,5527,1400,1326,1340,63.4,5772
"Local, total",12300,9280,9174,9209,74.9,76064,3184,2968,3091,25.1,17909
Counties,5018,3479,3408,3425,68.3,25111,1643,1549,1593,31.7,9546
Municipalities,7282,5801,5766,5784,79.4,50953,1541,1419,1498,20.6,8363
,,,,,,,,,,,
West Virginia,4116,3421,3209,3290,79.9,12979,940,753,826,20.1,2246
State,1042,661,661,661,63.4,3172,397,372,381,36.6,1115
"Local, total",3074,2760,2548,2629,85.5,9808,543,381,445,14.5,1131
Counties,1278,1166,1050,1088,85.1,3967,206,168,190,14.9,494
Municipalities,1796,1594,1498,1541,85.8,5841,337,213,255,14.2,636
,,,,,,,,,,,
Wisconsin,15953,13109,11921,12249,76.8,72169,4976,3139,3704,23.2,15029
State,888,528,528,528,59.5,2884,371,348,360,40.5,1646
"Local, total",15065,12581,11393,11721,77.8,69285,4605,2791,3344,22.2,13383
Counties,5623,4806,3914,4077,72.5,22375,1695,1421,1546,27.5,6891
Municipalities,9307,7626,7375,7534,80.9,46246,2870,1358,1773,19.1,6418
,,,,,,,,,,,
Wyoming,2032,1493,1467,1477,72.7,7384,609,529,555,27.3,2266
State,282,187,187,187,66.3,876,95,95,95,33.7,549
"Local, total",1750,1306,1280,1290,73.7,6508,514,434,460,26.3,1717
Counties,618,447,438,442,71.5,2200,195,166,176,28.5,653
Municipalities,1132,859,842,848,74.9,4308,319,268,284,25.1,1064
Note: March payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection March payrolls on table 6.  Local government data are estimates subject to variability.,,,,,,,,,,,
