Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee16t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
Illinois,630595,82305,74406,77392,12.3,45273,38456,40984,53,14165,13387,13694,17.7,22867,22563,22714,29.3,Illinois
State,123611,17929,17879,17904,14.5,3071,3050,3059,17.1,2534,2505,2521,14.1,12324,12324,12324,68.8,State
"Local, total",506984,64376,56527,59488,11.7,42202,35406,37925,63.8,11631,10882,11173,18.8,10543,10239,10390,17.5,"Local, total"
Counties,55951,27207,25277,25961,46.4,5880,4879,5156,19.9,10802,10163,10425,40.2,10525,10235,10380,40,Counties
Municipalities,104762,37169,31250,33527,32,36322,30527,32769,97.7,829,719,748,2.2,18,4,10,0,Municipalities
,,,,,,,,,,,,,,,,,,
Indiana,321390,37503,33923,35255,11,16961,15093,15662,44.4,8118,7215,7557,21.4,12424,11615,12036,34.1,Indiana
State,89278,9317,9236,9270,10.4,1844,1844,1844,19.9,1528,1458,1484,16,5945,5934,5942,64.1,State
"Local, total",232112,28186,24687,25985,11.2,15117,13249,13818,53.2,6590,5757,6073,23.4,6479,5681,6094,23.5,"Local, total"
Counties,42674,13855,11916,12727,29.8,3885,3307,3473,27.3,4485,3908,4148,32.6,5485,4701,5106,40.1,Counties
Municipalities,51260,14306,12747,13233,25.8,11232,9942,10345,78.2,2080,1825,1900,14.4,994,980,988,7.5,Municipalities
,,,,,,,,,,,,,,,,,,
Iowa,184309,15681,14172,14743,8,7832,6935,7186,48.7,3277,3058,3180,21.6,4572,4179,4377,29.7,Iowa
State,51005,5997,5789,5929,11.6,884,878,881,14.9,2287,2209,2263,38.2,2826,2702,2785,47,State
"Local, total",133304,9684,8383,8814,6.6,6948,6057,6305,71.5,990,849,917,10.4,1746,1477,1592,18.1,"Local, total"
Counties,23038,4774,4132,4384,19,2141,1904,1978,45.1,887,751,814,18.6,1746,1477,1592,36.3,Counties
Municipalities,23563,4910,4251,4430,18.8,4807,4153,4327,97.7,103,98,103,2.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Kansas,198259,20470,18728,19291,9.7,9712,8775,9095,47.1,4270,3700,3852,20,6488,6253,6344,32.9,Kansas
State,52118,6688,6508,6588,12.6,1084,1015,1047,15.9,2167,2073,2112,32.1,3437,3420,3429,52,State
"Local, total",146141,13782,12220,12703,8.7,8628,7760,8048,63.4,2103,1627,1740,13.7,3051,2833,2915,22.9,"Local, total"
Counties,21899,6513,5866,6079,27.8,2538,2276,2358,38.8,1216,1044,1097,18,2759,2546,2624,43.2,Counties
Municipalities,26370,7257,6347,6617,25.1,6081,5478,5684,85.9,884,582,642,9.7,292,287,291,4.4,Municipalities
,,,,,,,,,,,,,,,,,,
Kentucky,244888,26011,23630,24822,10.1,10240,9329,9744,39.3,7565,6658,7124,28.7,8206,7643,7954,32,Kentucky
State,85606,12008,11769,11896,13.9,2069,2061,2064,17.4,5861,5637,5758,48.4,4078,4071,4074,34.2,State
"Local, total",159282,14003,11861,12926,8.1,8171,7268,7680,59.4,1704,1021,1366,10.6,4128,3572,3880,30,"Local, total"
Counties,15166,5061,3697,4306,28.4,1645,1317,1452,33.7,817,329,528,12.3,2599,2051,2326,54,Counties
Municipalities,31706,8942,8164,8620,27.2,6526,5951,6228,72.3,887,692,838,9.7,1529,1521,1554,18,Municipalities
,,,,,,,,,,,,,,,,,,
Louisiana,258291,38860,35434,37139,14.4,18710,16772,17658,47.5,7703,6902,7214,19.4,12447,11760,12267,33,Louisiana
State,73796,9240,9029,9140,12.4,1805,1748,1791,19.6,1676,1636,1647,18,5759,5645,5702,62.4,State
"Local, total",184495,29620,26405,27999,15.2,16905,15024,15867,56.7,6027,5266,5567,19.9,6688,6115,6565,23.4,"Local, total"
Parishes,45857,16804,14704,15646,34.1,8188,7005,7437,47.5,3950,3470,3646,23.3,4666,4229,4563,29.2,Parishes
Municipalities,35625,12566,11459,12102,34,8717,8019,8430,69.7,2077,1796,1921,15.9,1772,1644,1751,14.5,Municipalities
,,,,,,,,,,,,,,,,,,
Maine,69428,6169,5282,5679,8.2,3164,2662,2841,50,1081,865,970,17.1,1924,1755,1868,32.9,Maine
State,20647,2425,2205,2351,11.4,430,428,429,18.2,795,672,747,31.8,1200,1105,1175,50,State
"Local, total",48781,3744,3077,3328,6.8,2734,2234,2412,72.5,286,193,223,6.7,724,650,693,20.8,"Local, total"
Counties,1869,1381,1147,1245,66.6,385,316,342,27.5,272,181,210,16.9,724,650,693,55.7,Counties
Municipalities,17910,1302,1176,1242,6.9,1288,1164,1229,99,14,12,13,1,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Maryland,304023,44225,41282,43051,14.2,19875,18315,19050,44.2,8793,7982,8530,19.8,15557,14985,15471,35.9,Maryland
State,85928,19505,18570,19344,22.5,2229,2229,2229,11.5,5320,4891,5233,27.1,11956,11450,11882,61.4,State
"Local, total",218095,24720,22712,23707,10.9,17646,16086,16821,71,3473,3091,3297,13.9,3601,3535,3589,15.1,"Local, total"
Counties,184889,18618,17144,17872,9.7,12211,11175,11648,65.2,2806,2434,2635,14.7,3601,3535,3589,20.1,Counties
Municipalities,31972,6102,5568,5835,18.3,5435,4911,5173,88.7,667,657,662,11.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Massachusetts,336065,44046,40849,41879,12.5,22070,19366,20230,48.3,9758,9432,9550,22.8,12218,12051,12099,28.9,Massachusetts
State,99315,24595,24142,24300,24.5,2941,2911,2926,12,9443,9180,9275,38.2,12211,12051,12099,49.8,State
"Local, total",236750,19451,16707,17579,7.4,19129,16455,17304,98.4,315,252,275,1.6,7,0,0,0,"Local, total"
Counties,1304,17,17,18,1.4,16,16,17,94.4,1,1,1,5.6,0,0,0,0,Counties
Municipalities,163577,15375,13566,14229,8.7,15071,13322,13963,98.1,304,244,266,1.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Michigan,438841,52387,46951,49339,11.2,22801,19437,20707,42,11298,10154,10717,21.7,18288,17360,17915,36.3,Michigan
State,144350,16828,16607,16756,11.6,2740,2716,2729,16.3,1478,1424,1459,8.7,12610,12467,12568,75,State
"Local, total",294491,35559,30344,32583,11.1,20061,16721,17978,55.2,9820,8730,9258,28.4,5678,4893,5347,16.4,"Local, total"
Counties,52253,18836,16284,17406,33.3,5499,4408,4754,27.3,7710,7021,7351,42.2,5627,4855,5301,30.5,Counties
Municipalities,51574,15108,12748,13771,26.7,13069,11083,11917,86.5,1992,1631,1813,13.2,47,34,41,0.3,Municipalities
,,,,,,,,,,,,,,,,,,
Minnesota,291552,30201,27073,28661,9.8,13299,11878,12437,43.4,6681,5828,6312,22,10221,9367,9912,34.6,Minnesota
State,82697,9339,8707,9141,11.1,962,934,951,10.4,4018,3564,3841,42,4359,4209,4349,47.6,State
"Local, total",208855,20862,18366,19520,9.3,12337,10944,11486,58.8,2663,2264,2471,12.7,5862,5158,5563,28.5,"Local, total"
Counties,36661,11167,9811,10463,28.5,3523,3100,3236,30.9,2341,1967,2165,20.7,5303,4744,5062,48.4,Counties
Municipalities,37885,9071,8114,8524,22.5,8749,7817,8218,96.4,322,297,306,3.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Mississippi,190903,18680,16363,17239,9,10540,9121,9674,56.1,3080,2485,2665,15.5,5060,4757,4900,28.4,Mississippi
State,56841,4375,4358,4373,7.7,1242,1240,1242,28.4,470,470,470,10.7,2663,2648,2661,60.9,State
"Local, total",134062,14305,12005,12866,9.6,9298,7881,8432,65.5,2610,2015,2195,17.1,2397,2109,2239,17.4,"Local, total"
Counties,27140,7877,6456,6975,25.7,3626,2970,3221,46.2,1925,1445,1584,22.7,2326,2041,2170,31.1,Counties
Municipalities,25655,6428,5549,5891,23,5672,4911,5211,88.5,685,570,611,10.4,71,68,69,1.2,Municipalities
,,,,,,,,,,,,,,,,,,
Missouri,315244,43182,40103,41333,13.1,19430,17952,18511,44.8,8420,7251,7758,18.8,15332,14900,15064,36.4,Missouri
State,87140,19045,18444,18758,21.5,2574,2443,2510,13.4,4302,3966,4162,22.2,12169,12035,12086,64.4,State
"Local, total",228104,24137,21659,22575,9.9,16856,15509,16001,70.9,4118,3285,3596,15.9,3163,2865,2978,13.2,"Local, total"
Counties,20948,8915,7740,8144,38.9,3953,3514,3634,44.6,2416,1948,2141,26.3,2546,2278,2369,29.1,Counties
Municipalities,50989,15223,13919,14431,28.3,12904,11995,12367,85.7,1702,1337,1455,10.1,617,587,609,4.2,Municipalities
,,,,,,,,,,,,,,,,,,
Montana,57691,6601,5910,6210,10.8,2778,2546,2643,42.6,1847,1515,1658,26.7,1976,1849,1909,30.7,Montana
State,20392,2549,2368,2459,12.1,503,486,495,20.1,776,704,746,30.3,1270,1178,1218,49.5,State
"Local, total",37299,4052,3542,3751,10.1,2275,2060,2148,57.3,1071,811,912,24.3,706,671,691,18.4,"Local, total"
Counties,6972,2528,2223,2351,33.7,1039,934,974,41.4,791,626,694,29.5,698,663,683,29.1,Counties
Municipalities,5434,1524,1319,1400,25.8,1236,1126,1174,83.9,280,185,218,15.6,8,8,8,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
Nebraska,119484,12038,11159,11554,9.7,5251,4769,4976,43.1,2229,1999,2108,18.2,4558,4391,4470,38.7,Nebraska
State,31924,4484,4388,4433,13.9,759,733,744,16.8,798,777,784,17.7,2927,2878,2905,65.5,State
"Local, total",87560,7554,6771,7121,8.1,4492,4036,4232,59.4,1431,1222,1324,18.6,1631,1513,1565,22,"Local, total"
Counties,13644,4263,3806,4018,29.4,1310,1166,1227,30.5,1322,1127,1226,30.5,1631,1513,1565,38.9,Counties
Municipalities,13623,3291,2965,3103,22.8,3182,2870,3005,96.8,109,95,98,3.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Nevada,113355,18190,17402,17710,15.6,7990,7643,7768,43.9,4480,4165,4301,24.3,5720,5594,5641,31.9,Nevada
State,28314,5262,5204,5221,18.4,834,826,830,15.9,714,702,705,13.5,3714,3676,3686,70.6,State
"Local, total",85041,12928,12198,12489,14.7,7156,6817,6938,55.6,3766,3463,3596,28.8,2006,1918,1955,15.7,"Local, total"
Counties,26185,9932,9410,9602,36.7,5302,5116,5163,53.8,3145,2884,2998,31.2,1485,1410,1441,15,Counties
Municipalities,9556,2996,2788,2887,30.2,1854,1701,1775,61.5,621,579,598,20.7,521,508,514,17.8,Municipalities
,,,,,,,,,,,,,,,,,,
New Hampshire,70473,7588,6141,6754,9.6,4387,3492,3848,57,1324,907,1081,16,1877,1742,1825,27,New Hampshire
State,19092,2530,2153,2334,12.2,552,489,517,22.2,913,659,765,32.8,1065,1005,1052,45.1,State
"Local, total",51381,5058,3988,4420,8.6,3835,3003,3331,75.4,411,248,316,7.1,812,737,773,17.5,"Local, total"
Counties,4183,1680,1201,1353,32.3,524,273,330,24.4,348,194,254,18.8,808,734,769,56.8,Counties
Municipalities,16696,1686,1426,1563,9.4,1634,1381,1511,96.7,48,42,48,3.1,4,3,4,0.3,Municipalities
,,,,,,,,,,,,,,,,,,
New Jersey,478391,73529,64626,68018,14.2,38716,31578,34347,50.5,20210,18553,19113,28.1,14603,14495,14558,21.4,New Jersey
State,139043,25192,24978,25084,18,3925,3878,3900,15.5,12785,12630,12707,50.7,8482,8470,8477,33.8,State
"Local, total",339348,48337,39648,42934,12.7,34791,27700,30447,70.9,7425,5923,6406,14.9,6121,6025,6081,14.2,"Local, total"
Counties,93369,18046,17017,17584,18.8,7180,6586,6841,38.9,4761,4408,4670,26.6,6105,6023,6073,34.5,Counties
Municipalities,73821,18329,13656,15321,20.8,16761,12661,14216,92.8,1568,995,1105,7.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
New Mexico,125978,16422,15817,16095,12.8,6426,6059,6214,38.6,3763,3597,3670,22.8,6233,6161,6211,38.6,New Mexico
State,45775,7697,7594,7649,16.7,665,665,665,8.7,3238,3161,3198,41.8,3794,3768,3786,49.5,State
"Local, total",80203,8725,8223,8446,10.5,5761,5394,5549,65.7,525,436,472,5.6,2439,2393,2425,28.7,"Local, total"
Counties,10430,4243,4121,4185,40.1,1649,1580,1610,38.5,187,165,177,4.2,2407,2376,2398,57.3,Counties
Municipalities,18381,4482,4102,4261,23.2,4112,3814,3939,92.4,338,271,295,6.9,32,17,27,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
New York,1183581,179546,164548,170840,14.4,91513,82384,86477,50.6,34398,29640,31236,18.3,53635,52524,53127,31.1,New York
State,242184,53582,52787,53298,22,5979,5855,5927,11.1,18871,18454,18757,35.2,28732,28478,28614,53.7,State
"Local, total",941397,125964,111761,117542,12.5,85534,76529,80550,68.5,15527,11186,12479,10.6,24903,24046,24513,20.9,"Local, total"
Counties,105936,30740,25682,27460,25.9,13305,10937,11897,43.3,5748,3735,4232,15.4,11687,11010,11331,41.3,Counties
Municipalities,712822,90458,82971,86614,12.2,68882,63009,65832,76,8372,6928,7605,8.8,13204,13034,13177,15.2,Municipalities
,,,,,,,,,,,,,,,,,,
North Carolina,548795,63289,60332,61433,11.2,29060,27085,27940,45.5,8086,7453,7543,12.3,26143,25794,25950,42.2,North Carolina
State,140047,30562,30092,30117,21.5,3185,3179,3180,10.6,6927,6474,6492,21.6,20450,20439,20445,67.9,State
"Local, total",408748,32727,30240,31316,7.7,25875,23906,24760,79.1,1159,979,1051,3.4,5693,5355,5505,17.6,"Local, total"
Counties,307897,16897,15372,15985,5.2,10649,9562,9980,62.4,949,790,850,5.3,5299,5020,5155,32.2,Counties
Municipalities,59122,15830,14868,15331,25.9,15226,14344,14780,96.4,210,189,201,1.3,394,335,350,2.3,Municipalities
,,,,,,,,,,,,,,,,,,
North Dakota,48023,4710,4268,4413,9.2,1950,1870,1893,42.9,1134,939,980,22.2,1626,1459,1540,34.9,North Dakota
State,19321,1872,1720,1778,9.2,200,197,198,11.1,711,650,664,37.3,961,873,916,51.5,State
"Local, total",28702,2838,2548,2635,9.2,1750,1673,1695,64.3,423,289,316,12,665,586,624,23.7,"Local, total"
Counties,4509,1572,1425,1485,32.9,640,606,612,41.2,267,233,249,16.8,665,586,624,42,Counties
Municipalities,5115,1266,1123,1150,22.5,1110,1067,1083,94.2,156,56,67,5.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Ohio,588550,77761,69464,73045,12.4,34219,29359,31391,43,21377,18602,19812,27.1,22165,21503,21842,29.9,Ohio
State,137846,19069,18596,18869,13.7,2605,2594,2599,13.8,3266,2819,3080,16.3,13198,13183,13190,69.9,State
"Local, total",450704,58692,50868,54176,12,31614,26765,28792,53.1,18111,15783,16732,30.9,8967,8320,8652,16,"Local, total"
Counties,93615,31017,27886,29225,31.2,9334,8033,8544,29.2,13332,12007,12565,43,8351,7846,8116,27.8,Counties
Municipalities,81761,26258,22037,23907,29.2,20871,17790,19208,80.3,4771,3773,4163,17.4,616,474,536,2.2,Municipalities
,,,,,,,,,,,,,,,,,,
Oklahoma,215986,23498,21854,22443,10.4,12187,11243,11612,51.7,4639,4093,4241,18.9,6672,6518,6590,29.4,Oklahoma
State,68649,9677,9475,9573,13.9,2000,1941,1969,20.6,2853,2754,2803,29.3,4824,4780,4801,50.2,State
"Local, total",147337,13821,12379,12870,8.7,10187,9302,9643,74.9,1786,1339,1438,11.2,1848,1738,1789,13.9,"Local, total"
Counties,16471,5554,4917,5113,31,2788,2405,2509,49.1,1083,929,977,19.1,1683,1583,1627,31.8,Counties
Municipalities,34583,8267,7462,7757,22.4,7399,6897,7134,92,703,410,461,5.9,165,155,162,2.1,Municipalities
,,,,,,,,,,,,,,,,,,
Oregon,197696,23376,21541,22320,11.3,9330,8616,8914,39.9,4996,4488,4710,21.1,9050,8437,8696,39,Oregon
State,68128,10047,9570,9780,14.4,1573,1379,1438,14.7,3139,2985,3082,31.5,5335,5206,5260,53.8,State
"Local, total",129568,13329,11971,12540,9.7,7757,7237,7476,59.6,1857,1503,1628,13,3715,3231,3436,27.4,"Local, total"
Counties,20356,7821,6774,7225,35.5,2719,2397,2549,35.3,1407,1166,1260,17.4,3695,3211,3416,47.3,Counties
Municipalities,22266,5508,5197,5315,23.9,5038,4840,4927,92.7,450,337,368,6.9,20,20,20,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Pennsylvania,562276,87531,76817,81148,14.4,36947,29022,32129,39.6,19006,17570,18113,22.3,31578,30225,30906,38.1,Pennsylvania
State,162573,28046,27115,27477,16.9,6974,6599,6719,24.5,3019,2999,3009,11,18053,17517,17749,64.6,State
"Local, total",399703,59485,49702,53671,13.4,29973,22423,25410,47.3,15987,14571,15104,28.1,13525,12708,13157,24.5,"Local, total"
