Missouri,1311849,1263269,1206519,56750,48580,230785,230785,193592,37193,0,266736,257973,252106,5867,8763,814328,774511,760821,13690,7475,39817,Missouri
,,,,,,,,,,,,,,,,,,,,,,
Montana,398456,397392,393152,4240,1064,38763,37699,36892,807,1064,147487,147487,146594,893,0,212206,212206,209666,2540,0,0,Montana
Nebraska,535772,516245,507696,8549,19527,94821,75300,70973,4327,19521,78140,78134,78061,73,6,362811,362811,358662,4149,3089,0,Nebraska
Nevada,451146,434706,413384,21322,16440,84059,82497,76959,5538,1562,83929,75532,74450,1082,8397,283158,276677,261975,14702,8864,6481,Nevada
New Hampshire,296151,295396,279072,16324,755,62254,62241,55113,7128,13,111845,111103,107557,3546,742,122052,122052,116402,5650,4628,0,New Hampshire
New Jersey,3046312,2812871,2765472,47399,233441,706311,518231,505572,12659,188080,947085,946363,935386,10977,722,1392916,1348277,1324514,23763,14949,44639,New Jersey
,,,,,,,,,,,,,,,,,,,,,,
New Mexico,927432,904515,892698,11817,22917,157414,137954,132257,5697,19460,292388,292328,288415,3913,60,477630,474233,472026,2207,0,3397,New Mexico
New York,7190426,6686604,6326072,360532,503822,982307,813266,771325,41941,169041,2819424,2626230,2584649,41581,193194,3388695,3247108,2970098,277010,105598,141587,New York
North Carolina,2651227,2625398,2544157,81241,25829,725037,713301,664020,49281,11736,669268,655175,642955,12220,14093,1256922,1256922,1237182,19740,6871,0,North Carolina
North Dakota,236347,233293,226640,6653,3054,27376,27376,25628,1748,0,108016,105361,101724,3637,2655,100955,100556,99288,1268,0,399,North Dakota
Ohio,2613716,2209737,2131704,78033,403979,363131,322419,317682,4737,40712,492190,349836,347589,2247,142354,1758395,1537482,1466433,71049,63956,220913,Ohio
,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1088447,1064310,1036300,28010,24137,232745,228577,213013,15564,4168,284697,265898,260001,5897,18799,571005,569835,563286,6549,1031,1170,Oklahoma
Oregon,1683916,1470887,1447997,22890,213029,201686,200417,191603,8814,1269,628204,558782,557262,1520,69422,854026,711688,699132,12556,438,142338,Oregon
Pennsylvania,3741219,3604005,3545309,58696,137214,1045151,1012394,973720,38674,32757,594246,543894,543894,0,50352,2101822,2047717,2027695,20022,10239,54105,Pennsylvania
Rhode Island,406892,406789,389252,17537,103,81380,81277,75044,6233,103,123996,123996,117812,6184,0,201516,201516,196396,5120,4575,0,Rhode Island
South Carolina,814166,774355,768706,5649,39811,184010,174188,173215,973,9822,127834,98727,98693,34,29107,502322,501440,496798,4642,4642,882,South Carolina
,,,,,,,,,,,,,,,,,,,,,,
South Dakota,227095,222996,218009,4987,4099,46310,43879,40904,2975,2431,54390,54037,53338,699,353,126395,125080,123767,1313,700,1315,South Dakota
Tennessee,1520921,1263463,1238436,25027,257458,260921,253272,249427,3845,7649,305097,300757,291560,9197,4340,954903,709434,697449,11985,22,245469,Tennessee
Texas,5980833,5480789,5374761,106028,500044,1038324,1038324,1036434,1890,0,848852,734178,707674,26504,114674,4093657,3708287,3630653,77634,4124,385370,Texas
Utah,688599,678995,659118,19877,9604,151844,148321,139823,8498,3523,194134,188053,186027,2026,6081,342621,342621,333268,9353,1063,0,Utah
Vermont,301918,292362,287349,5013,9556,88203,81455,77973,3482,6748,74233,74094,73151,943,139,139482,136813,136225,588,7,2669,Vermont
,,,,,,,,,,,,,,,,,,,,,,
Virginia,3046381,2145258,2084897,60361,901123,577499,346512,322994,23518,230987,662860,534311,527771,6540,128549,1806022,1264435,1234132,30303,7296,541587,Virginia
Washington,1741479,1611373,1534479,76894,130106,397980,286527,261990,24537,111453,303173,284520,281852,2668,18653,1040326,1040326,990637,49689,19513,0,Washington
West Virginia,600559,600502,577790,22712,57,84441,84441,72949,11492,0,215080,215023,211542,3481,57,301038,301038,293299,7739,4776,0,West Virginia
Wisconsin,1612908,1510381,1479829,30552,102527,147775,141636,141109,527,6139,354001,313275,312019,1256,40726,1111132,1055470,1026701,28769,17956,55662,Wisconsin
Wyoming,280738,270750,269502,1248,9988,47640,47640,47598,42,0,87694,78920,78253,667,8774,145404,144190,143651,539,300,1214,Wyoming
