"Maricopa, AZ",6,969841,969528,952963,16565,313,123717,123404,120671,2733,313,386164,386164,382346,3818,-,459960,459960,449946,10014,761,-,"Maricopa, AZ"
"Mecklenburg, NC",6,245020,230019,228179,1840,15001,122748,107747,107610,137,15001,12517,12517,11026,1491,-,109755,109755,109543,212,212,-,"Mecklenburg, NC"
"Middlesex, NJ",12,78941,78941,78941,-,-,21634,21634,21634,-,-,19829,19829,19829,-,-,37478,37478,37478,-,-,-,"Middlesex, NJ"
"Milwaukee, WI",12,255487,255487,254437,1050,-,50813,50813,50813,-,-,68670,68670,68670,-,-,136004,136004,134954,1050,1050,-,"Milwaukee, WI"
"Monmouth, NJ",12,92575,92575,92575,-,-,24012,24012,24012,-,-,25517,25517,25517,-,-,43046,43046,43046,-,-,-,"Monmouth, NJ"
"Monroe, NY",12,216282,211387,210671,716,4895,71387,71387,70708,679,-,35696,35696,35687,9,-,109199,104304,104276,28,-,4895,"Monroe, NY"
"Montgomery, MD",6,449610,449610,449610,-,-,321476,321476,321476,-,-,56453,56453,56453,-,-,71681,71681,71681,-,-,-,"Montgomery, MD"
,,,,,,,,,,,,,,,,,,,,,,,
"Montgomery, OH",12,97287,96775,96775,-,512,31500,31500,31500,-,-,32524,32012,32012,-,512,33263,33263,33263,-,-,-,"Montgomery, OH"
"Montgomery, PA",12,128895,128895,128676,219,-,3683,3683,3683,-,-,65281,65281,65281,-,-,59931,59931,59712,219,219,-,"Montgomery, PA"
"Multnomah, OR",6,236197,236197,212377,23820,-,31912,31912,31393,519,-,52527,52527,29254,23273,-,151758,151758,151730,28,-,-,"Multnomah, OR"
"Nassau, NY",12,1143371,1140107,1116609,23498,3264,849025,849025,826110,22915,-,81246,81246,81230,16,-,213100,209836,209269,567,528,3264,"Nassau, NY"
"New Castle, DE",6,93149,93149,89102,4047,-,83522,83522,79475,4047,-,9627,9627,9627,-,-,-,-,-,-,-,-,"New Castle, DE"
"Norfolk, MA",12,411,411,411,-,-,-,-,-,-,-,411,411,411,-,-,-,-,-,-,-,-,"Norfolk, MA"
"Oakland, MI",9,209434,205018,203839,1179,4416,51471,51471,50719,752,-,80161,75745,75582,163,4416,77802,77802,77538,264,-,-,"Oakland, MI"
"Ocean, NJ",12,66748,66748,66623,125,-,20543,20543,20543,-,-,17106,17106,17106,-,-,29099,29099,28974,125,124,-,"Ocean, NJ"
,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma, OK",6,62081,62081,61713,368,-,11064,11064,10880,184,-,7779,7779,7720,59,-,43238,43238,43113,125,-,-,"Oklahoma, OK"
"Orange, CA",6,948359,889243,871544,17699,59116,263819,263819,259925,3894,-,334012,274896,271773,3123,59116,350528,350528,339846,10682,-,-,"Orange, CA"
"Orange, FL",9,415600,415600,395703,19897,-,205911,205911,196524,9387,-,48452,48452,47599,853,-,161237,161237,151580,9657,-,-,"Orange, FL"
"Palm Beach, FL",9,564427,564427,552629,11798,-,366006,366006,354698,11308,-,51946,51946,51513,433,-,146475,146475,146418,57,-,-,"Palm Beach, FL"
"Passaic, NJ",12,93179,93179,93178,1,-,12369,12369,12368,1,-,20547,20547,20547,-,-,60263,60263,60263,-,-,-,"Passaic, NJ"
"Pierce, WA",12,248858,248858,245448,3410,-,98657,98657,95305,3352,-,79947,79947,79947,-,-,70254,70254,70196,58,58,-,"Pierce, WA"
"Pima, AZ",6,284678,284678,284678,-,-,106585,106585,106585,-,-,123987,123987,123987,-,-,54106,54106,54106,-,-,-,"Pima, AZ"
,,,,,,,,,,,,,,,,,,,,,,,
"Pinellas, FL",9,330353,330353,312733,17620,-,166743,166743,158019,8724,-,42321,42321,41670,651,-,121289,121289,113044,8245,-,-,"Pinellas, FL"
"Polk, FL",9,170721,170721,166907,3814,-,95800,95800,93345,2455,-,22746,22746,21880,866,-,52175,52175,51682,493,-,-,"Polk, FL"
"Prince Georges,
MD",6,455687,455687,455354,333,-,337417,337417,337107,310,-,35183,35183,35160,23,-,83087,83087,83087,-,-,-,"Prince Georges,
MD"
"Riverside, CA",6,1066956,1039995,992194,47801,26961,451057,451057,447914,3143,-,260880,233919,215574,18345,26961,355019,355019,328706,26313,-,-,"Riverside, CA"
"Sacramento, CA",6,666532,642304,636209,6095,24228,203799,203799,201307,2492,-,205348,181120,178151,2969,24228,257385,257385,256751,634,-,-,"Sacramento, CA"
"Salt Lake, UT",12,178837,178837,176783,2054,-,44850,44850,43983,867,-,56125,56125,55231,894,-,77862,77862,77569,293,-,-,"Salt Lake, UT"
"San Bernardino, 
CA",6,750464,726418,679929,46489,24046,307278,307278,276785,30493,-,153626,129580,127684,1896,24046,289560,289560,275460,14100,-,-,"San Bernardino, 
CA"
,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA",6,1056675,998664,921992,76672,58011,304733,304733,291274,13459,-,376654,318643,256158,62485,58011,375288,375288,374560,728,-,-,"San Diego, CA"
"San Joaquin, CA",6,277136,268239,267618,621,8897,78564,78564,78108,456,-,84963,76066,75948,118,8897,113609,113609,113562,47,-,-,"San Joaquin, CA"
"San Mateo, CA",6,355334,340127,335933,4194,15207,132072,132072,130853,1219,-,98231,83024,82998,26,15207,125031,125031,122082,2949,-,-,"San Mateo, CA"
"Santa Clara, CA",6,829383,789732,786062,3670,39651,149664,149664,147696,1968,-,279875,240224,239278,946,39651,399844,399844,399088,756,-,-,"Santa Clara, CA"
"Shelby, TN",6,304257,304257,296429,7828,-,162005,162005,154874,7131,-,85562,85562,85310,252,-,56690,56690,56245,445,-,-,"Shelby, TN"
"Snohomish, WA",12,163556,163556,156640,6916,-,53159,53159,52408,751,-,59342,59342,53932,5410,-,51055,51055,50300,755,755,-,"Snohomish, WA"
"St. Louis, MO",12,205330,205330,170475,34855,-,119210,119210,116025,3185,-,62121,62121,30451,31670,-,23999,23999,23999,-,-,-,"St. Louis, MO"
,,,,,,,,,,,,,,,,,,,,,,,
"Stanislaus, CA",6,184824,180099,177745,2354,4725,56072,56072,54626,1446,-,59224,54499,53974,525,4725,69528,69528,69145,383,-,-,"Stanislaus, CA"
"Suffolk, NY",12,738030,736178,724425,11753,1852,513787,513787,502328,11459,-,70912,70912,70799,113,-,153331,151479,151298,181,-,1852,"Suffolk, NY"
"Summit, OH",12,111751,111751,111751,-,-,21656,21656,21656,-,-,35880,35880,35880,-,-,54215,54215,54215,-,-,-,"Summit, OH"
"Tarrant, TX",9,316003,316002,296682,19320,1,60262,60262,59547,715,-,139937,139937,122078,17859,-,115804,115803,115057,746,576,1,"Tarrant, TX"
"Travis, TX",9,359694,359694,355304,4390,-,72094,72094,71847,247,-,109887,109887,106270,3617,-,177713,177713,177187,526,500,-,"Travis, TX"
"Tulsa, OK",6,80636,80636,79317,1319,-,16749,16749,15605,1144,-,15461,15461,15335,126,-,48426,48426,48377,49,-,-,"Tulsa, OK"
"Union, NJ",12,92952,92952,92129,823,-,27334,27334,26641,693,-,22852,22852,22724,128,-,42766,42766,42764,2,-,-,"Union, NJ"
,,,,,,,,,,,,,,,,,,,,,,,
"Utah, UT",12,44497,44497,44473,24,-,10816,10816,10799,17,-,11960,11960,11954,6,-,21721,21721,21720,1,-,-,"Utah, UT"
"Ventura, CA",6,456620,443827,438419,5408,12793,168435,168435,164705,3730,-,116558,103765,103631,134,12793,171627,171627,170083,1544,-,-,"Ventura, CA"
"Wake, NC",6,105310,105016,95497,9519,294,56427,56423,51109,5314,4,3876,3876,2258,1618,-,45007,44717,42130,2587,2552,290,"Wake, NC"
"Washington, OR",6,133228,133228,132838,390,-,69389,69389,69036,353,-,11404,11404,11404,-,-,52435,52435,52398,37,-,-,"Washington, OR"
"Wayne, MI",9,535232,530235,527715,2520,4997,33942,29692,29648,44,4250,265315,264568,263100,1468,747,235975,235975,234967,1008,525,-,"Wayne, MI"
"Westchester, NY",12,253599,253599,253057,542,-,32308,32308,32165,143,-,68619,68619,68490,129,-,152672,152672,152402,270,-,-,"Westchester, NY"
"Will, IL",11,147958,147958,143052,4906,-,59090,59090,54275,4815,-,47872,47872,47872,-,-,40996,40996,40905,91,-,-,"Will, IL"
Note:  Fiscal years end in months between July 2015 and June 2016.,,,,,,,,,,,,,,,,,,,,,,,
