Bureau of Justice Statistics,,,,,,
Filename: jeee16t19.csv,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 11/07/2019,,,,,,
,,,,,,
Table 19. Supplemental data for 106 large county governments,,,,,,
,,,,,,
,,"Expenditures, fiscal 2016 (thousands of dollars)",,,"Full-time equivalent employment, March 2016",
"Orange, FL",1323598,2030032,1965008,1939244,10586,9974
"Palm Beach, FL",1453768,2210940,2177940,2033741,10516,9972
"Passaic, NJ",511265,616119,586792,616106,3641,3641
"Pierce, WA",859752,680400,680394,680300,2926,2926
"Pima, AZ",1012519,1047130,1047127,1034709,6431,6376
,,,,,,
"Pinellas, FL",962106,1189693,1117682,1105141,5490,5277
"Polk, FL",667018,612491,612491,532407,4411,4247
"Prince Georges, 
MD",911154,4235559,4160852,3937586,31122,30868
"Riverside, CA",2386522,4464062,4428571,4464062,23066,23066
"Sacramento, CA",1513260,3355782,3279383,2887454,12442,11995
"Salt Lake, UT",1121379,692179,691602,692179,5196,5196
"San Bernardino, CA",2137131,4111579,3926652,3639227,19958,19957
,,,,,,
"San Diego, CA",3317200,4940858,4652270,4311833,19685,19685
"San Joaquin, CA",734294,1622976,1568457,1432987,7230,7230
"San Mateo, CA",769561,1859645,1771689,1676510,5593,5582
"Santa Clara, CA",1931575,5755031,5654930,5755031,19332,19332
"Shelby, TN",937130,3016497,2373233,2932964,23824,23824
"Snohomish, WA",786946,545982,538593,545982,2650,2650
"St. Louis, MO",998216,901441,762558,707257,3999,3999
,,,,,,
"Stanislaus, CA",541353,1173450,1110180,1060998,4881,4881
"Suffolk, NY",1494334,3534083,3279767,3237068,12358,11795
"Summit, OH",540394,477428,477179,477428,3588,3588
"Tarrant, TX",2021746,1760245,1760244,1760245,11168,11168
"Travis, TX",1204582,1134419,1134419,1134419,7634,7634
"Tulsa, OK",645042,315162,314802,296997,2201,2201
"Union, NJ",561106,603957,568727,603957,3681,3681
,,,,,,
"Utah, UT",590475,238816,238816,238816,1424,1422
"Ventura, CA",851096,2432668,2326283,2153110,9335,9284
"Wake, NC",1049143,2684056,2573756,2605637,23774,23774
"Washington, OR",582739,606387,606387,606387,1821,1821
"Wayne, MI",1756598,1825497,1571921,1759054,3631,3631
"Westchester, NY",978604,3927993,3450393,3751931,9405,9374
"Will, IL",689731,334533,334533,334533,2236,2236
"a/ Population figures are from the Bureau of the Census, Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2017 (September 2018).",,,,,,
"b/ ""Total general expenditure"" excludes utilities, county-operated liquor stores, and insurance trust benefits.",,,,,,
"c/ ""General functions only"" FTE excludes utilities and county-operated liquor stores.",,,,,,
