Bureau of Justice Statistics,,,,,,,,,,
Filename: jeee16t08.csv,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments by activity and state",,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2016, Preliminary  NCJ 254126",,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,
"Author: Shelley Hyland, Ph.D., BJS Statistician",,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 11/07/2019,,,,,,,,,,
,,,,,,,,,,
"Table 8. Per capita justice expenditure (fiscal 2016) and full-time equivalent justice employment per 10,000 population (March 2016) of state and local governments by activity and state",,,,,,,,,,
,,,,,,,,,,
,,"Per capita justice expenditure, fiscal 2016",,,,"Full-time equivalent justice employment per 10,000 population, March 2016",,,,
Tennessee,6645011,571.23,279.13,115.18,176.92,61.78,31.61,25.46,11.32,18.85
Texas,27937492,592.19,272.58,107.66,211.95,61.91,27.25,19.87,10,24.67
Utah,3042613,503.63,215.29,115.28,173.06,47.71,20.83,14.38,9.83,17.04
,,,,,,,,,,
Vermont,623644,650.75,301.79,129.11,219.84,52.69,23.94,16.02,11.3,17.45
Virginia,8410946,705.52,277.95,123.12,304.45,66.47,26.06,20.93,10.71,29.7
Washington,7294680,660.33,267.91,155.59,236.83,49.34,19.76,13.68,11.54,18.04
West Virginia,1830929,555.79,211.49,151.51,192.79,58.25,22.48,17.97,15.3,20.47
Wisconsin,5772958,708.58,324.53,114.83,269.22,60.33,27.63,21.22,9.4,23.29
Wyoming,584290,997.13,413.82,216.09,367.22,85.03,34.78,25.28,16.91,33.34
"Note: Local government data are estimates subject to variability. Population figures are from the Bureau of the Census, Table 1. Annual Estimates of the Resident Population for the United States, regions, states, and Puerto Rico: April 1, 2010 to July 1, 2018 (NST-EST2018-01), December 2018.",,,,,,,,,,
